Time_Soln#4 (sec),Volume_Soln#4 (cm3),Volumetric_heat_production_rate_Soln#4 (erg/cm3-sec),Surface_temperature_Soln#4 (K),Temperature_Soln#4 (K),Mass_Soln#4 (g),Pressure_Soln#4 (atm),Mole_fraction_H2_Soln#4 (),Mole_fraction_H_Soln#4 (),Mole_fraction_CH4_Soln#4 (),Mole_fraction_CH3_Soln#4 (),Mole_fraction_C2H6_Soln#4 (),Mole_fraction_C2H5_Soln#4 (),Mole_fraction_C2H4_Soln#4 (),Mole_fraction_C2H2_Soln#4 (),Mole_fraction_C3H8_Soln#4 (),Mole_fraction_NC3H7_Soln#4 (),Mole_fraction_C3H6_Soln#4 (),Mole_fraction_C3H5-A_Soln#4 (),Mole_fraction_C3H4-P_Soln#4 (),Mole_fraction_C3H4-A_Soln#4 (),Mole_fraction_NC4H10_Soln#4 (),Mole_fraction_IC4H10_Soln#4 (),Mole_fraction_IC4H8_Soln#4 (),Mole_fraction_IC4H7_Soln#4 (),Mole_fraction_C4H8-1_Soln#4 (),Mole_fraction_C4H8-2_Soln#4 (),Mole_fraction_C4H71-3_Soln#4 (),Mole_fraction_C4H6_Soln#4 (),Mole_fraction_C4H4_Soln#4 (),Mole_fraction_C6H6_Soln#4 (),Mole_fraction_FULVENE_Soln#4 (),Mole_fraction_C5H6_Soln#4 (),Mole_fraction_MCPTD_Soln#4 (),Mole_fraction_NC5H12_Soln#4 (),Mole_fraction_NC5H10_Soln#4 (),Mole_fraction_B1M2_Soln#4 (),Mole_fraction_B1M3_Soln#4 (),Mole_fraction_B2M2_Soln#4 (),Mole_fraction_CYC5H8_Soln#4 (),Mole_fraction_LC5H8_Soln#4 (),Mole_fraction_DIALLYL_Soln#4 (),Mole_fraction_CYC6H8_Soln#4 (),Mole_fraction_CYC6H10_Soln#4 (),Mole_fraction_NC6H12_Soln#4 (),Mole_fraction_NC7H14_Soln#4 (),Mole_fraction_DIMEPTD_Soln#4 (),Mole_fraction_C7H8_Soln#4 (),Mole_fraction_C7H7_Soln#4 (),Mole_fraction_C6H5C2H3_Soln#4 (),Mole_fraction_C6H5C2H5_Soln#4 (),Mole_fraction_XYLENE_Soln#4 (),Mole_fraction_INDENE_Soln#4 (),Mole_fraction_NPBENZ_Soln#4 (),Mole_fraction_NC12H26_Soln#4 (),Mole_fraction_NC16H34_Soln#4 (),Mole_fraction_NC10H20_Soln#4 (),Molecular_weight_Soln#4 (g/mole),Mass_density_Soln#4 (g/cm3),Unburned_hydrocarbons_Soln#4 (ppm),Volatile_organic_compounds_Soln#4 (ppm)
0.0,15.7,-2.713499E8,1150.0,1150.0,0.001569637,1.0,0.9514599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004081009,0.0,0.0,0.0,0.0,0.0,0.0,0.01103335,0.006639947,0.02678577,9.434426,9.997687E-5,535064.1,535064.1
1.135004E-8,15.69994,-3.313697E8,1149.999,1149.999,0.001569637,1.0,0.9514598,1.368867E-9,3.956697E-12,3.756311E-9,1.145777E-11,1.500041E-8,8.907165E-9,1.432486E-15,4.702922E-12,1.309585E-8,1.391946E-8,3.155687E-8,3.333858E-15,8.464753E-14,2.300371E-12,6.053548E-21,5.941161E-22,2.508778E-22,6.442265E-9,7.145534E-13,3.154196E-8,1.456554E-11,4.12118E-22,3.065356E-13,6.029581E-26,9.282889E-21,1.424657E-21,1.348359E-16,4.37196E-9,3.688576E-21,1.839893E-17,5.586973E-22,3.478956E-22,1.156651E-12,1.042167E-15,6.73917E-22,3.422271E-21,1.411269E-9,2.192388E-9,1.343597E-21,0.004081008,4.071308E-12,5.576038E-23,3.66042E-15,1.429931E-16,2.120178E-26,8.372774E-16,0.01103333,0.006639931,0.02678571,9.434424,9.997691E-5,535064.0,535064.0
7.593307E-8,15.6999,-4.136999E8,1149.995,1149.995,0.001569637,1.0,0.9514586,2.39856E-8,7.309414E-10,9.201695E-8,1.287317E-9,2.530622E-7,2.277128E-7,1.235698E-13,4.017939E-10,1.565049E-7,2.778232E-7,2.11559E-7,1.495399E-13,3.799577E-12,1.842919E-10,9.065484E-17,2.353299E-18,1.74212E-17,1.249804E-7,3.390965E-11,2.108973E-7,1.225668E-9,1.345537E-19,4.369075E-11,1.751721E-22,1.46051E-17,1.430862E-18,2.06794E-13,8.14104E-8,9.387085E-18,2.203988E-14,2.137884E-18,3.514602E-19,6.252492E-10,3.127405E-13,6.707488E-19,3.468145E-18,2.509167E-8,4.235329E-8,1.327571E-18,0.004081003,1.186454E-10,4.138069E-20,4.112483E-13,2.671018E-14,2.228728E-22,7.150809E-14,0.01103322,0.006639835,0.02678533,9.434412,9.997713E-5,535063.3,535063.3
2.673023E-7,15.69979,-4.582123E8,1149.982,1149.982,0.001569637,1.0,0.951454,9.408233E-8,1.668686E-8,5.664014E-7,2.491233E-8,1.296257E-6,1.501223E-6,3.81364E-12,5.133468E-9,4.701252E-7,1.238234E-6,7.532278E-7,1.867948E-12,4.782855E-11,1.920941E-9,2.705779E-14,2.597304E-16,7.997486E-15,5.451638E-7,4.149788E-10,7.452042E-7,2.103308E-8,2.362857E-17,6.730304E-10,3.085358E-20,2.291335E-15,8.463973E-17,1.302076E-11,3.532411E-7,8.40378E-16,1.743574E-12,2.211819E-16,2.181667E-17,1.355827E-8,1.38573E-11,4.017143E-17,2.058281E-16,1.044832E-7,1.995383E-7,7.719641E-17,0.004080981,1.568406E-9,2.975237E-18,7.959247E-12,6.260975E-13,4.64789E-20,9.207694E-13,0.01103287,0.006639529,0.02678415,9.434366,9.997783E-5,535060.7,535060.7
9.362623E-7,15.69939,-5.364825E8,1149.927,1149.927,0.001569637,1.0,0.9514341,3.535926E-7,3.322969E-7,3.062237E-6,3.813793E-7,5.169073E-6,8.829433E-6,1.460928E-10,4.18457E-8,8.371143E-7,5.317993E-6,2.748651E-6,2.365388E-11,6.255027E-10,1.323239E-8,4.196355E-12,2.587939E-14,1.802779E-12,2.228777E-6,4.995864E-9,2.656127E-6,2.941848E-7,1.00019E-14,9.005817E-9,5.154008E-18,3.68645E-13,4.474127E-15,3.931931E-10,1.486538E-6,5.300517E-14,1.216351E-10,1.77321E-14,1.356955E-15,2.010743E-7,6.319376E-10,2.382288E-15,1.089902E-14,3.961086E-7,1.039216E-6,3.914883E-15,0.004080865,2.034566E-8,1.830337E-16,1.222924E-10,1.331148E-11,6.819494E-18,9.534945E-12,0.01103139,0.006638256,0.02677925,9.434164,9.99804E-5,535049.3,535049.3
3.332537E-6,15.69783,-7.262558E8,1149.679,1149.679,0.001569637,1.0,0.9513291,1.165674E-6,5.601299E-6,1.337089E-5,4.68218E-6,1.598778E-5,5.52062E-5,5.384552E-9,3.32402E-7,1.319451E-6,2.866175E-5,1.087823E-5,3.405268E-10,9.683986E-9,1.424383E-7,3.255829E-10,3.368863E-12,2.817189E-10,1.090784E-5,6.984194E-8,9.932061E-6,3.842371E-6,4.859925E-12,1.127339E-7,9.594362E-16,5.738116E-11,3.043052E-13,7.700289E-9,7.863605E-6,3.171629E-12,7.426682E-9,1.363776E-12,1.253244E-13,2.615037E-6,3.380705E-8,6.115562E-13,7.554091E-13,1.610484E-6,7.583374E-6,2.404886E-13,0.004080049,2.521069E-7,2.227798E-14,1.609706E-9,2.74327E-10,2.52068E-15,4.047435E-10,0.01102305,0.006631311,0.02675304,9.433066,9.999034E-5,534987.0,534987.0
1.240963E-5,15.69198,-9.890818E8,1148.356,1148.356,0.001569637,1.0,0.9506377,2.771759E-6,7.633427E-5,4.052336E-5,4.523597E-5,3.359149E-5,4.007185E-4,1.586642E-7,4.484155E-6,2.241203E-6,1.994987E-4,3.923798E-5,6.930798E-9,1.816893E-7,2.329213E-6,1.388213E-8,7.099113E-10,2.803585E-8,7.166373E-5,1.207404E-6,3.59477E-5,4.528552E-5,1.467649E-9,1.185286E-6,2.639011E-13,6.962085E-9,2.898659E-11,1.302334E-7,5.658609E-5,1.966864E-10,3.654555E-7,1.112877E-10,1.57211E-11,2.800934E-5,1.851308E-6,6.169615E-10,8.230723E-11,7.738682E-6,6.508411E-5,2.108498E-11,0.004073493,2.525486E-6,1.257744E-11,3.107603E-8,6.688318E-9,2.086332E-12,3.502341E-8,0.01096366,0.006583098,0.02657454,9.425717,1.000276E-4,534570.2,534570.2
1.996163E-5,15.68793,-1.00553E9,1147.127,1147.127,0.001569637,1.0,0.9499193,3.14638E-6,1.662719E-4,4.744466E-5,9.032214E-5,3.694902E-5,7.733544E-4,4.629023E-7,1.046374E-5,2.444814E-6,3.859489E-4,5.039481E-5,2.095326E-8,4.588427E-7,5.396896E-6,3.983528E-8,4.505766E-9,1.131701E-7,1.398345E-4,3.158729E-6,5.012422E-5,9.925154E-5,8.114795E-9,2.439775E-6,2.119936E-12,3.143274E-8,1.306017E-10,3.01539E-7,1.123539E-4,7.755922E-10,1.14791E-6,4.588347E-10,7.764277E-11,5.765335E-5,5.838108E-6,4.884762E-9,4.005152E-10,1.355596E-5,1.298357E-4,9.873944E-11,0.004066478,4.911186E-6,1.006654E-10,1.009196E-7,1.997395E-8,1.692338E-11,1.37523E-7,0.01089994,0.006531797,0.02638563,9.418062,1.000534E-4,534136.1,534136.1
2.004466E-5,15.68789,-1.005423E9,1147.114,1147.114,0.001569637,1.0,0.9499112,3.148275E-6,1.673176E-4,4.747938E-5,9.083532E-5,3.69642E-5,7.775875E-4,4.669897E-7,1.053498E-5,2.445742E-6,3.880747E-4,5.046893E-5,2.115205E-8,4.622674E-7,5.433147E-6,4.016881E-8,4.576351E-9,1.144661E-7,1.40619E-4,3.183951E-6,5.02415E-5,9.989608E-5,8.227753E-9,2.454226E-6,2.157954E-12,3.18246E-8,1.322352E-10,3.035625E-7,1.129971E-4,7.845856E-10,1.158351E-6,4.642067E-10,7.867535E-11,5.799337E-5,5.889832E-6,4.96527E-9,4.057758E-10,1.362064E-5,1.305746E-4,1.00023E-10,0.004066399,4.937031E-6,1.023989E-10,1.019362E-7,2.0156E-8,1.72149E-11,1.390602E-7,0.01089921,0.006531215,0.02638349,9.417976,1.000537E-4,534131.2,534131.2
2.038323E-5,15.68772,-1.004949E9,1147.058,1147.058,0.001569637,1.0,0.9498781,3.155662E-6,1.715888E-4,4.761471E-5,9.292988E-5,3.702294E-5,7.948646E-4,4.838077E-7,1.082622E-5,2.44933E-6,3.967522E-4,5.076281E-5,2.197284E-8,4.762929E-7,5.581297E-6,4.153752E-8,4.87235E-9,1.198343E-7,1.438224E-4,3.287524E-6,5.07117E-5,1.025328E-4,8.698429E-9,2.513241E-6,2.31837E-12,3.345254E-8,1.390234E-10,3.118313E-7,1.156238E-4,8.219055E-10,1.201264E-6,4.864797E-10,8.297506E-11,5.938151E-5,6.101943E-6,5.302532E-9,4.276672E-10,1.388442E-5,1.335907E-4,1.053657E-10,0.004066078,5.042184E-6,1.096897E-10,1.061374E-7,2.090578E-8,1.844068E-11,1.454218E-7,0.01089626,0.006528843,0.02637475,9.417623,1.000547E-4,534111.2,534111.2
